Year,Organization,Recipient,Amount,Description
2024,Open Philanthropy,Rethink Priorities,"$3,253,550.00",Rethink Priorities — Farm Animal Welfare Research Support (2023)
2024,Open Philanthropy,Plant Based Foods Association,"$2,500,000.00",Plant Based Foods Association — Advocacy and Corporate Engagement
2024,Open Philanthropy,European Institute for Animal Law and Policy,"$1,819,991.00",European Institute for Animal Law & Policy — EU Farm Animal Welfare Advocacy
2024,Open Philanthropy,Compassion in World Farming,"$1,504,198.00",Compassion in World Farming — Farmed Fish Welfare 
2024,Open Philanthropy,Focus Philanthropy,"$880,000.00",Focus Philanthropy — Farm Animal Welfare Fundraising (2024)
2024,Open Philanthropy,Wageningen University,"$831,750.00",Wageningen University — Wild-Caught Fish Welfare (2024)
2024,Open Philanthropy,Compassion in World Farming,"$812,000.00",Compassion in World Farming — Farm Animal Welfare Advocacy 
2024,Open Philanthropy,"University of California, Berkeley","$800,000.00","University of California, Berkeley — Alternative Meats Lab (2024)"
2024,Open Philanthropy,FishEthoGroup,"$647,204.00",FishEthoGroup – Sea Bass and Sea Bream Environmental Enrichments
2024,Open Philanthropy,Scarlet Spark,"$450,000.00",Scarlet Spark – Management and Leadership Training
2024,Open Philanthropy,International Society for Applied Ethology,"$396,515.00",International Society for Applied Ethology — Farm Animal Welfare Science in Developing Countries
2024,Open Philanthropy,University of Stirling,"$363,054.00",University of Stirling — Research on Electrical Stunning (2024)
2024,Open Philanthropy,Animal & Vegan Advocacy Summit,"$360,000.00",Animal & Vegan Advocacy Summit — Travel Scholarships (2024)
2024,Open Philanthropy,Dansk Vegetarisk Forening,"$325,800.00",Dansk Vegetarisk Forening — Plant Protein Advocacy
2024,Open Philanthropy,"Animal Welfare Awareness, Research, and Education","$301,522.00",AWARE — Pig Welfare Reforms (2024)
2024,Open Philanthropy,Produtor do Bem,"$300,000.00",Produtor do Bem Certifição – Farm Animal Welfare Certification Program
2024,Open Philanthropy,Plant Based Foods Institute,"$257,000.00",Plant Based Foods Institute — International Regranting Against Labeling Laws (2024)
2024,Open Philanthropy,Cellular Agriculture Australia,"$239,659.00",Cellular Agriculture Australia — Advocacy for Cellular Agriculture
2024,Open Philanthropy,Humane Canada,"$213,500.00",Humane Canada — Farmed Animal Standards
2024,Open Philanthropy,People for Animals Uttarakhand,"$200,000.00",People for Animals Uttarakhand — Cage-Free Farm and Training Center
2024,Open Philanthropy,Animals Aotearoa,"$150,000.00",Animals Aotearoa – Broiler Welfare Campaigns
2024,Open Philanthropy,fair-fish international association,"$112,058.00",fair-fish international association — Database Support
2024,Open Philanthropy,Hive,"$100,000.00",Hive (formerly Impactful Animal Advocacy) – General Support (2023) 
2024,Open Philanthropy,Global Food Partners,"$100,000.00",Global Food Partners — Advocacy Summits
2024,Open Philanthropy,Asociación para el Rescate y Bienestar de los Animales,"$100,000.00",Asociación para el Rescate y Bienestar de los Animales — Cage-Free Campaigns 
2024,Open Philanthropy,People for Animals Uttarakhand,"$91,100.00",People for Animals Uttarakhand – Cage-Free Campaigns in India
2024,Open Philanthropy,Ethical Seafood Research,"$81,659.00",Ethical Seafood Research — Aquaculture Strategy in Zanzibar
2024,Open Philanthropy,RSPCA Australia,"$72,347.00",RSPCA Australia — Broiler Chicken Reports
2024,EA Animal Welfare Fund,Don Staniford,"$60,000.00",Covert surveillance of salmon farms
2024,Open Philanthropy,Swedish University of Agricultural Sciences,"$53,700.00",Swedish University of Agricultural Sciences – Humane Fish Slaughter Research
2023,Open Philanthropy,Anima International,"$13,272,625.00",Anima International — General Support
2023,Open Philanthropy,The Humane League,"$8,300,000.00",The Humane League — General Support (2023)
2023,Open Philanthropy,The Good Food Institute,"$5,300,000.00",The Good Food Institute — General Support (2023)
2023,Open Philanthropy,Global Food Partners,"$4,000,000.00",Global Food Partners — Cage-free Implementation in Asia (2023)
2023,Open Philanthropy,L214,"$2,901,250.00",L214 — Corporate Campaigns in France (2023)
2023,Open Philanthropy,Wild Animal Initiative,"$2,500,000.00",Wild Animal Initiative – Academic Field Building
2023,Open Philanthropy,Sharpen Strategy,"$2,500,000.00",Sharpen Strategy — Farm Animal Welfare Consulting
2023,Open Philanthropy,Shrimp Welfare Project,"$2,000,000.00",Shrimp Welfare Project — General Support (2023)
2023,Open Philanthropy,FAI Farms,"$1,919,600.00",FAI Farms — Aquaculture Welfare Reforms
2023,Open Philanthropy,Eurogroup for Animals,"$1,736,622.00",Eurogroup for Animals — Fish Welfare (2024)
2023,Open Philanthropy,Humane Society International,"$1,032,550.00",Humane Society International — Farm Animal Welfare in Europe
2023,Open Philanthropy,Welfare Matters,"$1,000,000.00",Welfare Matters — Farm Animal Welfare Movement Building in Southeast Asia
2023,Open Philanthropy,Queen Mary University of London,"$980,926.00",Queen Mary University of London — Animal Sentience Research
2023,Open Philanthropy,Humane Society International,"$887,300.00",Humane Society International — Farm Animal Welfare in Southeast Asia
2023,Open Philanthropy,Crustacean Compassion,"$863,595.00",Crustacean Compassion — General Support (2023)
2023,Open Philanthropy,Compassion in World Farming,"$758,953.00",Compassion in World Farming — Farm Animal Welfare Advocacy
2023,Open Philanthropy,Wisdom Good Works,"$702,600.00",Wisdom Good Works — Rodenticide Alternative
2023,Open Philanthropy,Compassion in World Farming,"$573,882.00",Compassion in World Farming — Farm Animal Welfare in Asia and Latin America
2023,Open Philanthropy,Animal Welfare Corporate Partners,"$558,890.00",Animal Welfare Corporate Partners — Cage-Free Implementation in Japan
2023,Open Philanthropy,Aquatic Life Institute,"$550,000.00",Aquatic Life Institute — General Support (2023)
2023,Open Philanthropy,Compassion in World Farming USA,"$550,000.00",Compassion in World Farming USA — Implementation of Corporate Pledges (2023)
2023,Open Philanthropy,Çiftlik Hayvanlarını Koruma Derneği,"$530,800.00",Çiftlik Hayvanlarını Koruma Derneği — Farm Animal Welfare in Turkey
2023,Open Philanthropy,Aquaculture Stewardship Council,"$525,000.00",Aquaculture Stewardship Council — Welfare Standards
2023,Open Philanthropy,Center for Responsible Food Business,"$500,000.00",Center for Responsible Food Business — Corporate Engagement Group
2023,Open Philanthropy,Animal Advocacy Careers,"$500,000.00",Animal Advocacy Careers — Career Coaching for Animal Advocates
2023,Open Philanthropy,Swedish University of Agricultural Sciences,"$384,000.00",Swedish University of Agricultural Sciences — Portable Fish EEG
2023,Open Philanthropy,ProVeg International,"$384,000.00",ProVeg International — Innovation Competitions for Alternative Proteins
2023,Open Philanthropy,Animal Kingdom Foundation,"$374,800.00",Animal Kingdom Foundation — Farm Animal Welfare in the Philippines
2023,Open Philanthropy,OBRAZ,"$350,000.00",OBRAZ — Broiler Chicken Welfare in Czechia
2023,Open Philanthropy,Animal Charity Evaluators,"$350,000.00",Animal Charity Evaluators — General Support (2023)
2023,Open Philanthropy,Compromiso Verde,"$336,000.00",Compromiso Verde — Cage-Free Campaigns in Peru
2023,Open Philanthropy,Wageningen University,"$330,566.00",Wageningen University — Wild-Caught Fish Welfare
2023,Open Philanthropy,Carnegie Endowment for International Peace,"$322,000.00",Carnegie Endowment for International Peace — Alternative Proteins for Security
2023,Open Philanthropy,European Environmental Bureau,"$321,699.00",European Environmental Bureau — EU Farm Animal Welfare Advocacy
2023,Open Philanthropy,Vereniging Green Protein Alliance,"$306,640.00",Vereniging Green Protein Alliance — Plant Protein Advocacy
2023,Open Philanthropy,SJS Inc.,"$300,000.00",SJS Inc. — Market Shaping for Alternative Proteins
2023,Open Philanthropy,Madre Brava,"$300,000.00",Madre Brava — Corporate Commitments for Alternative Proteins
2023,EA Animal Welfare Fund,Rethink Priorities,"$295,600.00",Support annual salaries of max 9 employees (6 FTE) and other expenses to advance invertebrate and wild animal research
2023,Open Philanthropy,Rethink Priorities,"$268,684.00",Rethink Priorities — Animal Welfare Field-Building
2023,Open Philanthropy,L214,"$256,021.00",L214 — EU Farm Animal Welfare Legislation
2023,Open Philanthropy,Asia for Animals Coalition,"$250,000.00",Asia for Animals Coalition — Farm Animal Welfare Movement Building in Asia
2023,Open Philanthropy,Vegetarianos Hoy,"$250,000.00",Vegetarianos Hoy — Farm Animal Welfare in Chile and Colombia
2023,Open Philanthropy,European Consumer Organisation,"$215,000.00",The European Consumer Organisation — EU Farm Animal Welfare Advocacy
2023,Open Philanthropy,People for Animals Uttarakhand,"$204,400.00",People for Animals Uttarakhand — Farm Animal Welfare in India (2023)
2023,Open Philanthropy,Stanford University,"$200,000.00",Stanford University – Meat Purchasing Behavioral Studies
2023,Open Philanthropy,Innovate Animal Ag,"$200,000.00",Innovate Animal Ag — Farm Animal Welfare Technology Adoption
2023,Open Philanthropy,Animal Empathy Philippines,"$200,000.00",Animal Empathy Philippines — Community Building Work
2023,Open Philanthropy,Vegan Women Summit,"$200,000.00",Vegan Women Summit — Alternative Proteins Talent Pipeline (2023)
2023,Open Philanthropy,Freedom and Respect for Every Earthling (F.R.E.E.),"$193,000.00",F.R.E.E. — Broiler and Cage-Free Reforms in Romania
2023,EA Animal Welfare Fund,The Humane League UK (THL UK),"$190,000.00",Salary & discretionary costs to secure 2 supermarket Better Chicken Commitments & legal protections for farmed fishes
2023,Open Philanthropy,Animal & Vegan Advocacy Summit,"$169,200.00",Animal & Vegan Advocacy Summit — Conference Support
2023,Animal Charity Evaluators,Fish Welfare Initiative,"$169,085.00",Recommended Charity Fund
2023,Animal Charity Evaluators,Sinergia Animal,"$169,085.00",Recommended Charity Fund
2023,Animal Charity Evaluators,The Good Food Institute,"$169,085.00",Recommended Charity Fund
2023,Animal Charity Evaluators,The Humane League,"$169,085.00",Recommended Charity Fund
2023,Animal Charity Evaluators,Wild Animal Initiative,"$169,085.00",Recommended Charity Fund
2023,Open Philanthropy,Animal Alliance Asia,"$164,000.00",Animal Alliance Asia — Farm Animal Welfare Movement Building
2023,Open Philanthropy,People for Animals Uttarakhand,"$159,800.00",People For Animals Uttarakhand — Farm Animal Welfare Fellowship (2023)
2023,Open Philanthropy,Australian Alliance for Animals,"$150,000.00",Australian Alliance for Animals — Farm Animal Welfare Advocacy
2023,Open Philanthropy,Animal Ask,"$150,000.00",Animal Ask — Farm Animal Welfare Strategy Research (2023)
2023,Open Philanthropy,University of Stirling,"$146,812.00",University of Stirling — Research on Electrical Stunning
2023,EA Animal Welfare Fund,Animals Aotearoa,"$139,188.11","Two years of operational costs for Animals Aotearoa, New Zealand’s primary charity for improving broiler welfare"
2023,Open Philanthropy,Animal Friends Jogja,"$139,000.00",Animal Friends Jogja — Farm Animal Welfare in Indonesia (2022)
2023,Open Philanthropy,World Animal Protection,"$138,000.00",World Animal Protection — Farm Animal Welfare in Kenya
2023,EA Animal Welfare Fund,"Shrimp Welfare Project, Ltd","$130,000.00",Purchase 4 stunners for producers committing to stun a minimum. of 1.4k MT (~100 million) of shrimps/annum per stunner
2023,Open Philanthropy,Stockholm Environment Institute,"$120,000.00",Stockholm Environment Institute — Farm Animal Welfare Sustainability Reports
2023,Open Philanthropy,The Governors of the University of Calgary,"$107,074.00",The Governors of the University of Calgary — Pork Immunocastration Research
2023,Animal Charity Evaluators,Dansk Vegetarisk Forening,"$103,354.00",Recommended Charity Fund
2023,Open Philanthropy,Farmed Animal Funders,"$100,000.00",Farmed Animal Funders — Fundraising Efforts
2023,Open Philanthropy,Partner Africa,"$100,000.00",Partner Africa — Chicken Welfare in Kenya
2023,EA Animal Welfare Fund,Sentience Politics,"$100,000.00",50% funding for one year to launch a ballot initiative to secure outdoor access for all farm animals in Switzerland
2023,Open Philanthropy,"University of California, Davis","$97,457.00",UC Davis — Rainbow Trout Enrichment Study
2023,Animal Charity Evaluators,Shrimp Welfare Project,"$96,711.00",Recommended Charity Fund
2023,Animal Charity Evaluators,Faunalytics,"$95,836.00",Recommended Charity Fund
2023,Animal Charity Evaluators,Faunalytics,"$94,492.10",Recommended Charity Fund
2023,Animal Charity Evaluators,The Good Food Institute,"$94,492.10",Recommended Charity Fund
2023,Animal Charity Evaluators,The Humane League,"$94,492.10",Recommended Charity Fund
2023,Animal Charity Evaluators,Wild Animal Initiative,"$94,492.10",Recommended Charity Fund
2023,EA Animal Welfare Fund,Equalia,"$87,500.00",General operating support to cover the 33% of our 2024 budget’s funding gap
2023,EA Animal Welfare Fund,Legal Impact for Chickens,"$85,000.00","Expanding Legal Impact for Chickens (LIC), to fight factory-farm cruelty through litigation"
2023,EA Animal Welfare Fund,Tälist,"$85,000.00","1-year salary and IT costs to build & run a platform, automatically matching top talent with Alt. Protein jobs at scale"
2023,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,"$84,543.00",Recommended Charity Fund
2023,Animal Charity Evaluators,Legal Impact for Chickens,"$84,543.00",Recommended Charity Fund
2023,Animal Charity Evaluators,New Roots Institute,"$84,543.00",Recommended Charity Fund
2023,EA Animal Welfare Fund,Crustacean Compassion,"$84,000.00",Crustacean Compassion Corporate and Political Engagement Growth Programme
2023,EA Animal Welfare Fund,Animal Advocacy Africa,"$80,000.00","1-year funds to build African orgs’ capacities, research on preventing factory farming & regrant to promising orgs"
2023,EA Animal Welfare Fund,Fórum Nacional de Proteção e Defesa Animal,"$80,000.00",Continue the Forum accountability: carrying out the payment of employees' salaries and Interns students
2023,EA Animal Welfare Fund,University of Wisconsin-Madison,"$79,668.00",2-year study to develop a welfare auditing tool for black soldier fly larvae raised for food and feed
2023,EA Animal Welfare Fund,Çiftlik Hayvanlarını Koruma Derneği (Farm Animals Protection Association),"$75,000.00",12-month salary for the staff and communications/ads costs to sustain capacity for cage-free campaigns and fish welfare
2023,EA Animal Welfare Fund,Innovate Animal Ag,"$70,000.00",Seed funding for a new nonprofit that will support agricultural technologies that improve animal welfare
2023,Open Philanthropy,IMPROVE,"$65,756.00",IMPROVE — Egg Alternatives Research
2023,Open Philanthropy,Humane Society International India,"$60,000.00",Humane Society International India — Exit Grant
2023,EA Animal Welfare Fund,Utunzi Animal Welfare Organization,"$60,000.00","1 yr cage free farmers awareness, public and students  sensitization, corporate outreach & lobbying  on cage free policy"
2023,EA Animal Welfare Fund,(Anonymous),"$60,000.00",12-month grant to support a policy advocacy organization dedicated to banning the use of live baitfish
2023,Open Philanthropy,Ethical Seafood Research,"$56,250.00",Ethical Seafood Research — Research on Farmed Tilapia Welfare in Egypt
2023,Open Philanthropy,Commonwealth Veterinary Association,"$55,000.00",Commonwealth Veterinary Association — Animal Welfare Projects
2023,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Compassion in World Farming USA,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Dansk Vegetarisk Forening,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Dharma Voices for Animals,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Federation of Indian Protection Organisations,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Fish Welfare Initiative,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Material Innovation Initiative,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Mercy For Animals,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,New Harvest,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,Sinergia Animal,"$51,541.15",Recommended Charity Fund
2023,Animal Charity Evaluators,xiaobuVEGAN,"$51,541.15",Recommended Charity Fund
2023,Open Philanthropy,Animal Outlook,"$50,000.00",Animal Outlook — Investigations Training
2023,Open Philanthropy,Global Food Partners,"$50,000.00",Global Food Partners — Cage-Free Reforms Summit
