Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02132","Asses","2023","2023","An","1519205","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02132","Asses","2024","2024","An","1530569","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02121.01","Camels","2023","2023","An","166004","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02121.01","Camels","2024","2024","An","165071","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02111","Cattle","2023","2023","An","5470284","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02111","Cattle","2024","2024","An","5555383","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5112","Stocks","02151","Chickens","2023","2023","1000 An","13364","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5112","Stocks","02151","Chickens","2024","2024","1000 An","13480","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02123","Goats","2023","2023","An","8097476","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02123","Goats","2024","2024","An","8190291","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02131","Horses","2023","2023","An","8216","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02131","Horses","2024","2024","An","8262","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02133","Mules and hinnies","2023","2023","An","23852","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02133","Mules and hinnies","2024","2024","An","23784","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2023","2023","An","12159580","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2024","2024","An","12450000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02132","Asses","2023","2023","An","36455","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02132","Asses","2024","2024","An","44924","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2023","2023","No","518790","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2024","2024","No","587296","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02112","Buffalo","2023","2023","An","0","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02112","Buffalo","2024","2024","An","0","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02111","Cattle","2023","2023","An","263385","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02111","Cattle","2024","2024","An","272035","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02151","Chickens","2023","2023","1000 An","4877","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02151","Chickens","2024","2024","1000 An","4557","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02154","Ducks","2023","2023","1000 An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02154","Ducks","2024","2024","1000 An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02153","Geese","2023","2023","1000 An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02153","Geese","2024","2024","1000 An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02123","Goats","2023","2023","An","640242","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02123","Goats","2024","2024","An","615188","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02131","Horses","2023","2023","An","27290","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02131","Horses","2024","2024","An","24199","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02133","Mules and hinnies","2023","2023","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02133","Mules and hinnies","2024","2024","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2023","2023","An","1206206","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2024","2024","An","1176523","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02140","Swine / pigs","2023","2023","An","114833","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02140","Swine / pigs","2024","2024","An","104042","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02152","Turkeys","2023","2023","1000 An","347","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02152","Turkeys","2024","2024","1000 An","378","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02132","Asses","2023","2023","An","63133","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02132","Asses","2024","2024","An","55741","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","012","Algeria","5114","Stocks","02196","Bees","2023","2023","No","442524","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","012","Algeria","5114","Stocks","02196","Bees","2024","2024","No","440934","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02121.01","Camels","2023","2023","An","461455","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02121.01","Camels","2024","2024","An","466642","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02111","Cattle","2023","2023","An","1805943","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02111","Cattle","2024","2024","An","1782454","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02151","Chickens","2023","2023","1000 An","195862","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02151","Chickens","2024","2024","1000 An","203572","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02154","Ducks","2023","2023","1000 An","62","I","Value imputed by a receiving agency",""
