,Year,Organization,Recipient,Amount,Description
0,2024,Open Philanthropy,Rethink Priorities,3253550.0,Rethink Priorities — Farm Animal Welfare Research Support (2023)
1,2024,Open Philanthropy,Plant Based Foods Association,2500000.0,Plant Based Foods Association — Advocacy and Corporate Engagement
2,2024,Open Philanthropy,European Institute for Animal Law and Policy,1819991.0,European Institute for Animal Law & Policy — EU Farm Animal Welfare Advocacy
3,2024,Open Philanthropy,Compassion in World Farming,1504198.0,Compassion in World Farming — Farmed Fish Welfare 
4,2024,Open Philanthropy,Focus Philanthropy,880000.0,Focus Philanthropy — Farm Animal Welfare Fundraising (2024)
5,2024,Open Philanthropy,Wageningen University,831750.0,Wageningen University — Wild-Caught Fish Welfare (2024)
6,2024,Open Philanthropy,Compassion in World Farming,812000.0,Compassion in World Farming — Farm Animal Welfare Advocacy 
7,2024,Open Philanthropy,"University of California, Berkeley",800000.0,"University of California, Berkeley — Alternative Meats Lab (2024)"
8,2024,Open Philanthropy,FishEthoGroup,647204.0,FishEthoGroup – Sea Bass and Sea Bream Environmental Enrichments
9,2024,Open Philanthropy,Scarlet Spark,450000.0,Scarlet Spark – Management and Leadership Training
10,2024,Open Philanthropy,International Society for Applied Ethology,396515.0,International Society for Applied Ethology — Farm Animal Welfare Science in Developing Countries
11,2024,Open Philanthropy,University of Stirling,363054.0,University of Stirling — Research on Electrical Stunning (2024)
12,2024,Open Philanthropy,Animal & Vegan Advocacy Summit,360000.0,Animal & Vegan Advocacy Summit — Travel Scholarships (2024)
13,2024,Open Philanthropy,Dansk Vegetarisk Forening,325800.0,Dansk Vegetarisk Forening — Plant Protein Advocacy
14,2024,Open Philanthropy,"Animal Welfare Awareness, Research, and Education",301522.0,AWARE — Pig Welfare Reforms (2024)
15,2024,Open Philanthropy,Produtor do Bem,300000.0,Produtor do Bem Certifição – Farm Animal Welfare Certification Program
16,2024,Open Philanthropy,Plant Based Foods Institute,257000.0,Plant Based Foods Institute — International Regranting Against Labeling Laws (2024)
17,2024,Open Philanthropy,Cellular Agriculture Australia,239659.0,Cellular Agriculture Australia — Advocacy for Cellular Agriculture
18,2024,Open Philanthropy,Humane Canada,213500.0,Humane Canada — Farmed Animal Standards
19,2024,Open Philanthropy,People for Animals Uttarakhand,200000.0,People for Animals Uttarakhand — Cage-Free Farm and Training Center
20,2024,Open Philanthropy,Animals Aotearoa,150000.0,Animals Aotearoa – Broiler Welfare Campaigns
21,2024,Open Philanthropy,fair-fish international association,112058.0,fair-fish international association — Database Support
22,2024,Open Philanthropy,Hive,100000.0,Hive (formerly Impactful Animal Advocacy) – General Support (2023) 
